cluster,subflow_type_agg,min,max,mean,std,count,num_unique_main_id,num_unique_facility_group_id,num_unique_main_id_in_cluster,num_unique_facility_group_id_in_cluster,cluster_id
Concentrator | Gold,Diesel,934.4821748349345,1079.139344262295,1006.8107595486148,102.28806544933792,2,0,2,0,2,1
Concentrator | Gold,Electricity,13.3605737704918,1583.811855737705,583.9138181839204,868.8106933076198,3,0,2,0,2,1
Concentrator | Gold,Explosives,11.79342686059727,11.79342686059727,11.79342686059727,,1,0,1,0,2,1
Concentrator | Gold,Gasoline,13.31399248896723,13.31399248896723,13.31399248896723,,1,0,1,0,2,1
Concentrator | Gold,LPG-Propane,0.06115572867823733,329.3196721311475,164.69041392991286,232.8209297116081,2,0,2,0,2,1
Concentrator | Gold,Lubricants,1.90259375475146,1.90259375475146,1.90259375475146,,1,0,1,0,2,1
Concentrator | Gold,Other,84.23770491803279,84.23770491803279,84.23770491803279,,1,0,1,0,2,1
"Concentrator | Gold, zinc",Diesel,125.3395692358689,125.3395692358689,125.3395692358689,,1,0,1,0,1,2
"Concentrator | Gold, zinc",Electricity,247.3125797939148,247.3125797939148,247.3125797939148,,1,0,1,0,1,2
"Concentrator | Gold, zinc",Gasoline,0.5697253147084949,0.5697253147084949,0.5697253147084949,,1,0,1,0,1,2
"Concentrator | Gold, zinc",LPG-Propane,15.66744615448361,15.66744615448361,15.66744615448361,,1,0,1,0,1,2
"Open-pit, concentrator | Copper, gold, silver",Diesel,11.79804819246207,11.79804819246207,11.79804819246207,,1,1,0,1,0,3
"Open-pit, concentrator | Copper, gold, silver",Electricity,286.790499540086,286.790499540086,286.790499540086,,1,1,0,1,0,3
"Open-pit, concentrator | Copper, gold, silver",Gasoline,0.05362749178391851,0.05362749178391851,0.05362749178391851,,1,1,0,1,0,3
"Open-pit, concentrator | Copper, gold, silver",LPG-Propane,1.474756024057759,1.474756024057759,1.474756024057759,,1,1,0,1,0,3
"Open-pit, concentrator | Copper, molybdenum, silver",Diesel,56.12176666666667,56.12176666666667,56.12176666666667,,1,1,0,1,0,4
"Open-pit, concentrator | Copper, molybdenum, silver",Electricity,56.52216666666666,56.52216666666666,56.52216666666666,,1,1,0,1,0,4
"Open-pit, concentrator | Copper, molybdenum, silver",Gasoline,1.293033333333333,1.293033333333333,1.293033333333333,,1,1,0,1,0,4
"Open-pit, concentrator | Copper, molybdenum, silver",LPG-Propane,0.0151,0.0151,0.0151,,1,1,0,1,0,4
"Open-pit, concentrator | Copper, molybdenum, silver",Natural gas,6.232566666666667,6.232566666666667,6.232566666666667,,1,1,0,1,0,4
"Open-pit, concentrator | Gold",Diesel,155.1810785788493,239.9020654152803,197.5415719970648,59.906784300856586,2,2,0,2,0,5
"Open-pit, concentrator | Gold",Electricity,117.6123217267912,603.6819637139807,307.5072022262552,259.87974919671586,3,2,0,2,0,5
"Open-pit, concentrator | Gold",Explosives,2.558457826140723,10.58865381798397,6.573555822062346,5.6782060400893934,2,2,0,2,0,5
"Open-pit, concentrator | Gold",Gasoline,2.826986992206142,6.441082302718312,4.634034647462228,2.5555513019176566,2,2,0,2,0,5
"Open-pit, concentrator | Gold",LPG-Propane,7.173935559827971,7.173935559827971,7.173935559827971,,1,1,0,2,0,5
"Open-pit, concentrator | Gold",Natural gas,179.8606315525143,179.8606315525143,179.8606315525143,,1,1,0,2,0,5
"Open-pit, concentrator | Gold, copper, silver",Aviation fuel,106.2966772502195,106.2966772502195,106.2966772502195,,1,1,0,1,0,6
"Open-pit, concentrator | Gold, copper, silver",Diesel,1195.53455514662,1195.53455514662,1195.53455514662,,1,1,0,1,0,6
"Open-pit, concentrator | Gold, copper, silver",Electricity,4.853877699736612,1119.038052326602,561.9459650131693,787.847185369393,2,1,0,1,0,6
"Open-pit, concentrator | Gold, copper, silver",Gasoline,21.99364354697103,21.99364354697103,21.99364354697103,,1,1,0,1,0,6
"Open-pit, concentrator | Gold, copper, silver",LPG-Propane,0.001755926251097454,70.51201562774365,35.25688577699737,49.858282778149935,2,1,0,1,0,6
"Open-pit, concentrator | Gold, silver",Diesel,130.5354120209066,130.5354120209066,130.5354120209066,,1,1,0,1,0,7
"Open-pit, concentrator | Gold, silver",Electricity,123.924302737933,123.924302737933,123.924302737933,,1,1,0,1,0,7
"Open-pit, concentrator | Gold, silver",Gasoline,2.18592280614657,2.18592280614657,2.18592280614657,,1,1,0,1,0,7
"Open-pit, concentrator | Gold, silver",LPG-Propane,0.07469327623964732,0.07469327623964732,0.07469327623964732,,1,1,0,1,0,7
"Open-pit, concentrator | Gold, silver",Natural gas,8.308527594487716,8.308527594487716,8.308527594487716,,1,1,0,1,0,7
"Open-pit, concentrator | Iron",Diesel,121.3483146067416,121.3483146067416,121.3483146067416,,1,1,0,2,0,8
"Open-pit, concentrator | Iron",Electricity,346.3483146067416,346.3483146067416,346.3483146067416,,1,1,0,2,0,8
"Open-pit, concentrator | Iron",Energy use,834.5637583892617,834.5637583892617,834.5637583892617,,1,1,0,2,0,8
"Open-pit, concentrator | Iron",Gasoline,3.370786516853932,297.191011235955,150.28089887640445,207.7622733486316,2,1,0,2,0,8
"Open-pit, concentrator | Iron",LPG-Propane,0.2808988764044944,0.2808988764044944,0.2808988764044944,,1,1,0,2,0,8
"Open-pit, underground, concentrator | Gold",Diesel,237.7550238584402,1013.562596740702,625.6588102995711,548.578795680924,2,2,0,2,0,9
"Open-pit, underground, concentrator | Gold",Electricity,249.0720105852379,488.938072320181,369.00504145270946,169.61091882928932,2,2,0,2,0,9
"Open-pit, underground, concentrator | Gold",Explosives,9.487300998934908,9.487300998934908,9.487300998934908,,1,1,0,2,0,9
"Open-pit, underground, concentrator | Gold",Gasoline,2.757875716252646,2.757875716252646,2.757875716252646,,1,1,0,2,0,9
"Open-pit, underground, concentrator | Gold, silver",Diesel,186.6494889771794,298.9129870222998,242.78123799973957,79.38228074742733,2,2,0,2,0,10
"Open-pit, underground, concentrator | Gold, silver",Electricity,333.09242355089,364.0500416467736,348.5712325988318,21.89034168498268,2,2,0,2,0,10
"Open-pit, underground, concentrator | Gold, silver",Explosives,6.757474669100867,6.757474669100867,6.757474669100867,,1,1,0,2,0,10
"Open-pit, underground, concentrator | Gold, silver",Gasoline,4.476711709265177,13.72356249297587,9.100137101120524,6.538510893781972,2,2,0,2,0,10
"Open-pit, underground, concentrator | Gold, silver",LPG-Propane,10.65640656424007,34.78006709117412,22.718236827707095,17.058003945637306,2,2,0,2,0,10
"Open-pit, underground, concentrator | Platinum group metals, gold, nickel, copper, cobalt",Diesel,52.16348555815769,52.16348555815769,52.16348555815769,,1,1,0,1,0,11
"Open-pit, underground, concentrator | Platinum group metals, gold, nickel, copper, cobalt",Electricity,114.519906323185,114.519906323185,114.519906323185,,1,1,0,1,0,11
"Open-pit, underground, concentrator | Platinum group metals, gold, nickel, copper, cobalt",Gasoline,1.408313817330211,1.408313817330211,1.408313817330211,,1,1,0,1,0,11
Underground | Gold,Diesel,8.081221804023016,244.1459974587039,155.41684459977077,128.4822295691695,3,0,2,0,2,12
Underground | Gold,Electricity,31.26948892473899,469.0132147395171,249.6610729836997,218.87344374287997,3,0,2,0,2,12
Underground | Gold,Explosives,0.01315120711562897,3.106607369758576,1.4690385429902577,1.5547102240123147,3,0,1,0,2,12
Underground | Gold,Gasoline,1.871728081321474,5.907195637238063,3.8894618592797685,2.853506474046923,2,0,2,0,2,12
Underground | Gold,LPG-Propane,2.176591573445551,2.176591573445551,2.176591573445551,,1,0,1,0,2,12
Underground | Gold,Natural gas,57.26726210924081,101.2233791931385,79.24532065118966,31.0816684646539,2,0,2,0,2,12
"Underground, concentrator | Gold",Aviation fuel,13.04160077062011,13.04160077062011,13.04160077062011,,1,1,0,5,0,13
"Underground, concentrator | Gold",Diesel,0.2158825122045183,490.5038472422482,246.87969353422315,207.36629747695417,6,5,0,5,0,13
"Underground, concentrator | Gold",Electricity,0.165042474983904,761.213918652963,349.1673057857322,292.72074590904566,9,5,0,5,0,13
"Underground, concentrator | Gold",Explosives,21.75836713426494,21.75836713426494,21.75836713426494,,1,1,0,5,0,13
"Underground, concentrator | Gold",Gasoline,0.7380004565596044,56.68584673018098,20.10061668292674,24.107926879109094,5,5,0,5,0,13
"Underground, concentrator | Gold",LPG-Propane,0.05367244778565371,287.2895021717941,107.4649540836318,121.49808638483198,5,4,0,5,0,13
"Underground, concentrator | Gold",Naphtha,2.204272550100815,2.204272550100815,2.204272550100815,,1,1,0,5,0,13
"Underground, concentrator | Gold",Natural gas,77.00082729712197,91.72502054462029,84.36292392087114,10.41157689280724,2,2,0,5,0,13
"Underground, concentrator | Gold, copper, silver",Diesel,59.966644,59.966644,59.966644,,1,1,0,1,0,14
"Underground, concentrator | Gold, copper, silver",Electricity,18.40609347471452,56.11250358890702,37.25929853181077,26.662458285946535,2,1,0,1,0,14
"Underground, concentrator | Gold, copper, silver",Explosives,0.6820228384991843,0.6820228384991843,0.6820228384991843,,1,1,0,1,0,14
"Underground, concentrator | Gold, copper, silver",Gasoline,1.332498949429038,1.332498949429038,1.332498949429038,,1,1,0,1,0,14
"Underground, concentrator | Gold, copper, silver",LPG-Propane,0.2562976672104404,0.2562976672104404,0.2562976672104404,,1,1,0,1,0,14
"Underground, concentrator | Gold, copper, silver",Natural gas,19.3141924959217,19.3141924959217,19.3141924959217,,1,1,0,1,0,14
"Underground, concentrator | Gold, silver",Aviation fuel,26.90002824902724,437.8078963228916,232.35396228595943,290.55573995793674,2,2,0,6,0,15
"Underground, concentrator | Gold, silver",Diesel,11.44977648710282,1729.171368864711,376.5554625208982,604.5829030822564,7,6,0,6,0,15
"Underground, concentrator | Gold, silver",Electricity,1.442801556420233,3427.76858313253,859.0271346457967,1076.8706866974971,9,6,0,6,0,15
"Underground, concentrator | Gold, silver",Explosives,1.480560928433269,186.9978350860983,40.432789998096055,81.94644781601731,5,3,0,6,0,15
"Underground, concentrator | Gold, silver",Gasoline,0.4665860434371806,81.73765060240964,18.580723484851855,31.301724451614504,6,6,0,6,0,15
"Underground, concentrator | Gold, silver",LPG-Propane,0.03191489361702127,253.4400078313253,82.99619693254593,121.066766345173,6,5,0,6,0,15
"Underground, concentrator | Gold, silver",Natural gas,29.87051289514612,740.7130628549689,299.4393666098333,330.7446899740228,4,4,0,6,0,15
"Underground, concentrator | Gold, silver",Other,14.12062891566265,14.12062891566265,14.12062891566265,,1,1,0,6,0,15
"Underground, concentrator | Gold, zinc, copper, silver, cadmium",Diesel,147.136094777959,147.136094777959,147.136094777959,,1,1,0,1,0,16
"Underground, concentrator | Gold, zinc, copper, silver, cadmium",Electricity,635.4181435366932,635.4181435366932,635.4181435366932,,1,1,0,1,0,16
"Underground, concentrator | Gold, zinc, copper, silver, cadmium",Explosives,2.362326791544801,2.362326791544801,2.362326791544801,,1,1,0,1,0,16
"Underground, concentrator | Gold, zinc, copper, silver, cadmium",Gasoline,3.133092332289274,3.133092332289274,3.133092332289274,,1,1,0,1,0,16
"Underground, concentrator | Gold, zinc, copper, silver, cadmium",Natural gas,111.8851384145108,111.8851384145108,111.8851384145108,,1,1,0,1,0,16
"Underground, concentrator | Silver, zinc, lead",Diesel,470.3406134542327,470.3406134542327,470.3406134542327,,1,1,0,1,0,17
"Underground, concentrator | Silver, zinc, lead",Electricity,497.5641308019198,497.5641308019198,497.5641308019198,,1,1,0,1,0,17
"Underground, concentrator | Silver, zinc, lead",Gasoline,68.2943067975524,68.2943067975524,68.2943067975524,,1,1,0,1,0,17
"Underground, concentrator | Silver, zinc, lead",LPG-Propane,317.9305310637514,317.9305310637514,317.9305310637514,,1,1,0,1,0,17
