main_id,facility_group_id,company_id,year,flow_type,subflow_type_agg,value_normalized_sum,ore_type,mining_method,mining_submethod,facility_name,facility_group_name,company_name,city,province,geometry,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,commodities,owner(s),operator(s),operation_periods,company_URL,facility_URL,MDO_URL,source_id
BC-MAIN-599152a0,nan,CMP-12afc634,2023,Energy,Diesel,11.798048192462073,Sulfide,Concentrator,,Copper Mountain,,Hudbay Minerals Inc,Princeton,British Columbia,POINT (-120.533 49.331),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, gold, silver",Hudbay Minerals Inc (100%),Copper Mountain Mine Ltd,1884–1958; 2011–open,https://hudbayminerals.com/canada/default.aspx,-,https://miningdataonline.com/property/1/copper-mountain-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-599152a0,nan,CMP-12afc634,2023,Energy,Electricity,286.790499540086,Sulfide,Concentrator,,Copper Mountain,,Hudbay Minerals Inc,Princeton,British Columbia,POINT (-120.533 49.331),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, gold, silver",Hudbay Minerals Inc (100%),Copper Mountain Mine Ltd,1884–1958; 2011–open,https://hudbayminerals.com/canada/default.aspx,-,https://miningdataonline.com/property/1/copper-mountain-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-599152a0,nan,CMP-12afc634,2023,Energy,Gasoline,0.05362749178391851,Sulfide,Concentrator,,Copper Mountain,,Hudbay Minerals Inc,Princeton,British Columbia,POINT (-120.533 49.331),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, gold, silver",Hudbay Minerals Inc (100%),Copper Mountain Mine Ltd,1884–1958; 2011–open,https://hudbayminerals.com/canada/default.aspx,-,https://miningdataonline.com/property/1/copper-mountain-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-599152a0,nan,CMP-12afc634,2023,Energy,LPG-Propane,1.474756024057759,Sulfide,Concentrator,,Copper Mountain,,Hudbay Minerals Inc,Princeton,British Columbia,POINT (-120.533 49.331),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, gold, silver",Hudbay Minerals Inc (100%),Copper Mountain Mine Ltd,1884–1958; 2011–open,https://hudbayminerals.com/canada/default.aspx,-,https://miningdataonline.com/property/1/copper-mountain-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-6b4800fe,nan,CMP-e35f138c,2023,Energy,Diesel,56.121766666666666,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,Gibraltar,,Taseko Mines Limited,north of Williams Lake,British Columbia,POINT (-122.28716 52.528495),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, molybdenum, silver",Taseko Mines Limited (100%),,1972–1998; 2004–open,https://www.tasekomines.com/,https://www.tasekomines.com/properties/gibraltar-mine/,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-6b4800fe,nan,CMP-e35f138c,2023,Energy,Electricity,56.522166666666664,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,Gibraltar,,Taseko Mines Limited,north of Williams Lake,British Columbia,POINT (-122.28716 52.528495),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, molybdenum, silver",Taseko Mines Limited (100%),,1972–1998; 2004–open,https://www.tasekomines.com/,https://www.tasekomines.com/properties/gibraltar-mine/,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-6b4800fe,nan,CMP-e35f138c,2023,Energy,Gasoline,1.2930333333333333,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,Gibraltar,,Taseko Mines Limited,north of Williams Lake,British Columbia,POINT (-122.28716 52.528495),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, molybdenum, silver",Taseko Mines Limited (100%),,1972–1998; 2004–open,https://www.tasekomines.com/,https://www.tasekomines.com/properties/gibraltar-mine/,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-6b4800fe,nan,CMP-e35f138c,2023,Energy,LPG-Propane,0.0151,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,Gibraltar,,Taseko Mines Limited,north of Williams Lake,British Columbia,POINT (-122.28716 52.528495),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, molybdenum, silver",Taseko Mines Limited (100%),,1972–1998; 2004–open,https://www.tasekomines.com/,https://www.tasekomines.com/properties/gibraltar-mine/,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-6b4800fe,nan,CMP-e35f138c,2023,Energy,Natural gas,6.232566666666667,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,Gibraltar,,Taseko Mines Limited,north of Williams Lake,British Columbia,POINT (-122.28716 52.528495),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, molybdenum, silver",Taseko Mines Limited (100%),,1972–1998; 2004–open,https://www.tasekomines.com/,https://www.tasekomines.com/properties/gibraltar-mine/,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-857b7b89,nan,CMP-4a434d72,2023,Energy,Aviation fuel,106.29667725021949,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,Brucejack,,Newmont Corporation,Stewart,British Columbia,POINT (-130.21783 56.47554),active_facility,,,mining,"Underground, concentrator",Precious metals,"Gold, silver","Newmount Corporation (70%), Imperial Metals Corp (30%)",,2017–open,https://www.newmont.com/home/default.aspx,https://operations.newmont.com/north-america/red-chris-canada,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-857b7b89,nan,CMP-4a434d72,2023,Energy,Diesel,1195.5345551466198,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,Brucejack,,Newmont Corporation,Stewart,British Columbia,POINT (-130.21783 56.47554),active_facility,,,mining,"Underground, concentrator",Precious metals,"Gold, silver","Newmount Corporation (70%), Imperial Metals Corp (30%)",,2017–open,https://www.newmont.com/home/default.aspx,https://operations.newmont.com/north-america/red-chris-canada,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-857b7b89,nan,CMP-4a434d72,2023,Energy,Electricity,1123.8919300263387,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,Brucejack,,Newmont Corporation,Stewart,British Columbia,POINT (-130.21783 56.47554),active_facility,,,mining,"Underground, concentrator",Precious metals,"Gold, silver","Newmount Corporation (70%), Imperial Metals Corp (30%)",,2017–open,https://www.newmont.com/home/default.aspx,https://operations.newmont.com/north-america/red-chris-canada,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-857b7b89,nan,CMP-4a434d72,2023,Energy,Gasoline,21.99364354697103,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,Brucejack,,Newmont Corporation,Stewart,British Columbia,POINT (-130.21783 56.47554),active_facility,,,mining,"Underground, concentrator",Precious metals,"Gold, silver","Newmount Corporation (70%), Imperial Metals Corp (30%)",,2017–open,https://www.newmont.com/home/default.aspx,https://operations.newmont.com/north-america/red-chris-canada,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-857b7b89,nan,CMP-4a434d72,2023,Energy,LPG-Propane,70.51377155399474,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,Brucejack,,Newmont Corporation,Stewart,British Columbia,POINT (-130.21783 56.47554),active_facility,,,mining,"Underground, concentrator",Precious metals,"Gold, silver","Newmount Corporation (70%), Imperial Metals Corp (30%)",,2017–open,https://www.newmont.com/home/default.aspx,https://operations.newmont.com/north-america/red-chris-canada,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-8eb8be0d,nan,CMP-4a434d72,2023,Energy,Aviation fuel,26.900028249027237,Sulfide,Concentrator,Underground – Stoping – Long-Hole Stoping,Red Chris,,Newmont Corporation,Kinaskan Lake,British Columbia,POINT (-129.78333 57.7),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Gold, copper, silver",Orla Mining Ltd (100%),,2015–open,x,x,https://miningdataonline.com/property/63/Musselwhite-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-8eb8be0d,nan,CMP-4a434d72,2023,Energy,Diesel,311.65865860869815,Sulfide,Concentrator,Underground – Stoping – Long-Hole Stoping,Red Chris,,Newmont Corporation,Kinaskan Lake,British Columbia,POINT (-129.78333 57.7),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Gold, copper, silver",Orla Mining Ltd (100%),,2015–open,x,x,https://miningdataonline.com/property/63/Musselwhite-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-8eb8be0d,nan,CMP-4a434d72,2023,Energy,Electricity,501.1495956051194,Sulfide,Concentrator,Underground – Stoping – Long-Hole Stoping,Red Chris,,Newmont Corporation,Kinaskan Lake,British Columbia,POINT (-129.78333 57.7),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Gold, copper, silver",Orla Mining Ltd (100%),,2015–open,x,x,https://miningdataonline.com/property/63/Musselwhite-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-8eb8be0d,nan,CMP-4a434d72,2023,Energy,Gasoline,5.289528210116732,Sulfide,Concentrator,Underground – Stoping – Long-Hole Stoping,Red Chris,,Newmont Corporation,Kinaskan Lake,British Columbia,POINT (-129.78333 57.7),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Gold, copper, silver",Orla Mining Ltd (100%),,2015–open,x,x,https://miningdataonline.com/property/63/Musselwhite-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-8eb8be0d,nan,CMP-4a434d72,2023,Energy,LPG-Propane,223.6302227140078,Sulfide,Concentrator,Underground – Stoping – Long-Hole Stoping,Red Chris,,Newmont Corporation,Kinaskan Lake,British Columbia,POINT (-129.78333 57.7),active_facility,,,mining,"Open-pit, concentrator",Base metals,"Gold, copper, silver",Orla Mining Ltd (100%),,2015–open,x,x,https://miningdataonline.com/property/63/Musselwhite-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-aa76f6f2,nan,CMP-d94be190,2023,Energy,Diesel,59.966643999999995,Sulfide,"Open-pit, underground, concentrator",Underground – Caving – Block Caving,New Afton,,New Gold Inc,Kamloops,British Columbia,POINT (-120.514 50.661),active_facility,,,mining,"Underground, concentrator",Base metals and precious metals,"Gold, copper, silver",New Gold Inc (100%),,2012–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#new-afton-mine,https://miningdataonline.com/property/11/new-afton-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-aa76f6f2,nan,CMP-d94be190,2023,Energy,Electricity,74.51859706362154,Sulfide,"Open-pit, underground, concentrator",Underground – Caving – Block Caving,New Afton,,New Gold Inc,Kamloops,British Columbia,POINT (-120.514 50.661),active_facility,,,mining,"Underground, concentrator",Base metals and precious metals,"Gold, copper, silver",New Gold Inc (100%),,2012–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#new-afton-mine,https://miningdataonline.com/property/11/new-afton-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-aa76f6f2,nan,CMP-d94be190,2023,Energy,Explosives,0.6820228384991843,Sulfide,"Open-pit, underground, concentrator",Underground – Caving – Block Caving,New Afton,,New Gold Inc,Kamloops,British Columbia,POINT (-120.514 50.661),active_facility,,,mining,"Underground, concentrator",Base metals and precious metals,"Gold, copper, silver",New Gold Inc (100%),,2012–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#new-afton-mine,https://miningdataonline.com/property/11/new-afton-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-aa76f6f2,nan,CMP-d94be190,2023,Energy,Gasoline,1.3324989494290376,Sulfide,"Open-pit, underground, concentrator",Underground – Caving – Block Caving,New Afton,,New Gold Inc,Kamloops,British Columbia,POINT (-120.514 50.661),active_facility,,,mining,"Underground, concentrator",Base metals and precious metals,"Gold, copper, silver",New Gold Inc (100%),,2012–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#new-afton-mine,https://miningdataonline.com/property/11/new-afton-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-aa76f6f2,nan,CMP-d94be190,2023,Energy,LPG-Propane,0.25629766721044045,Sulfide,"Open-pit, underground, concentrator",Underground – Caving – Block Caving,New Afton,,New Gold Inc,Kamloops,British Columbia,POINT (-120.514 50.661),active_facility,,,mining,"Underground, concentrator",Base metals and precious metals,"Gold, copper, silver",New Gold Inc (100%),,2012–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#new-afton-mine,https://miningdataonline.com/property/11/new-afton-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-aa76f6f2,nan,CMP-d94be190,2023,Energy,Natural gas,19.314192495921695,Sulfide,"Open-pit, underground, concentrator",Underground – Caving – Block Caving,New Afton,,New Gold Inc,Kamloops,British Columbia,POINT (-120.514 50.661),active_facility,,,mining,"Underground, concentrator",Base metals and precious metals,"Gold, copper, silver",New Gold Inc (100%),,2012–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#new-afton-mine,https://miningdataonline.com/property/11/new-afton-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
NU-MAIN-8b0264c9,nan,CMP-6265c407,2023,Energy,Diesel,44.84179380338546,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Meliadine,,Agnico Eagle Mines Limited,Rankin Inlet,Nunavut,POINT (-92.220206 63.031529),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Agnico Eagle Mines Limited (100%),Agnico Eagle Mines Limited,2019–open,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/goldex/default.aspx,https://miningdataonline.com/property/44/Goldex-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
NU-MAIN-8b0264c9,nan,CMP-6265c407,2023,Energy,Electricity,223.1155164839897,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Meliadine,,Agnico Eagle Mines Limited,Rankin Inlet,Nunavut,POINT (-92.220206 63.031529),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Agnico Eagle Mines Limited (100%),Agnico Eagle Mines Limited,2019–open,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/goldex/default.aspx,https://miningdataonline.com/property/44/Goldex-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
NU-MAIN-8b0264c9,nan,CMP-6265c407,2023,Energy,Explosives,3.8265597786566694,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Meliadine,,Agnico Eagle Mines Limited,Rankin Inlet,Nunavut,POINT (-92.220206 63.031529),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Agnico Eagle Mines Limited (100%),Agnico Eagle Mines Limited,2019–open,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/goldex/default.aspx,https://miningdataonline.com/property/44/Goldex-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
NU-MAIN-8b0264c9,nan,CMP-6265c407,2023,Energy,Gasoline,0.4665860434371806,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Meliadine,,Agnico Eagle Mines Limited,Rankin Inlet,Nunavut,POINT (-92.220206 63.031529),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Agnico Eagle Mines Limited (100%),Agnico Eagle Mines Limited,2019–open,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/goldex/default.aspx,https://miningdataonline.com/property/44/Goldex-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
NU-MAIN-8b0264c9,nan,CMP-6265c407,2023,Energy,Natural gas,29.870512895146124,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Meliadine,,Agnico Eagle Mines Limited,Rankin Inlet,Nunavut,POINT (-92.220206 63.031529),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Agnico Eagle Mines Limited (100%),Agnico Eagle Mines Limited,2019–open,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/goldex/default.aspx,https://miningdataonline.com/property/44/Goldex-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-0aadf28f,nan,CMP-d94be190,2023,Energy,Diesel,186.64948897717937,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Rainy River,,New Gold Inc,Fort Frances,Ontario,POINT (-94.012 48.833),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,"Gold, silver",New Gold Inc (100%),,2017–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#rainy-river-mine,https://miningdataonline.com/property/69/Rainy-River-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-0aadf28f,nan,CMP-d94be190,2023,Energy,Electricity,333.09242355089003,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Rainy River,,New Gold Inc,Fort Frances,Ontario,POINT (-94.012 48.833),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,"Gold, silver",New Gold Inc (100%),,2017–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#rainy-river-mine,https://miningdataonline.com/property/69/Rainy-River-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-0aadf28f,nan,CMP-d94be190,2023,Energy,Explosives,6.757474669100867,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Rainy River,,New Gold Inc,Fort Frances,Ontario,POINT (-94.012 48.833),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,"Gold, silver",New Gold Inc (100%),,2017–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#rainy-river-mine,https://miningdataonline.com/property/69/Rainy-River-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
