Commodity,Activity,Product,Location,Impact_score,Share_%
Copper concentrate,"market group for electricity, high voltage","electricity, high voltage",CA,0.529395505284358,27.368280025079077
Copper concentrate,"consumption market for cement, Portland","cement, Portland",CA,0.19267247619609626,9.960632889823573
Copper concentrate,"technology mix for diesel, burned in building machine","diesel, burned in building machine",CA,0.14228060613032825,7.355512904517782
Copper concentrate,consumption market for chromium,chromium,RoW,0.13036789117260522,6.739658565809732
Copper concentrate,consumption market for copper sulfate,copper sulfate,CA,0.07179977872708351,3.7118495157718487
Copper concentrate,"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",CA-QC,0.06020600337620035,3.1124834705682813
Copper concentrate,"consumption market for steel, unalloyed","steel, unalloyed",CA,0.04854432262425602,2.5096069043782183
Copper concentrate,"consumption market for hydrogen peroxide, without water, in 50% solution state","hydrogen peroxide, without water, in 50% solution state",CA,0.047124836746264616,2.436223419606003
Copper concentrate,consumption market for sodium cyanide,sodium cyanide,CA,0.04492865780088865,2.322687056410121
Copper concentrate,"technology mix for mine infrastructure, underground, non-ferrous metal","mine infrastructure, underground, non-ferrous metal",CA,0.04298167757271337,2.222033576061111
Copper concentrate,"consumption market for quicklime, milled, loose","quicklime, milled, loose",CA,0.03367713269028562,1.7410143998378116
Gold-silver ingot,"market group for electricity, high voltage","electricity, high voltage",CA,1473.010993479003,27.368279959091545
Gold-silver ingot,"consumption market for cement, Portland","cement, Portland",CA,536.0995186863687,9.960632865807536
Gold-silver ingot,"technology mix for diesel, burned in building machine","diesel, burned in building machine",CA,395.8871862281034,7.355512886782939
Gold-silver ingot,consumption market for chromium,chromium,RoW,362.740776937223,6.739658549559774
Gold-silver ingot,consumption market for copper sulfate,copper sulfate,CA,199.7785442805096,3.7118495068222264
Gold-silver ingot,"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",CA-QC,167.5195651669569,3.1124834630637874
Gold-silver ingot,"consumption market for steel, unalloyed","steel, unalloyed",CA,135.07164337957857,2.509606898327317
Gold-silver ingot,"consumption market for hydrogen peroxide, without water, in 50% solution state","hydrogen peroxide, without water, in 50% solution state",CA,131.1220097266702,2.436223413732036
Gold-silver ingot,consumption market for sodium cyanide,sodium cyanide,CA,125.01127456195,2.322687050809901
Gold-silver ingot,"technology mix for mine infrastructure, underground, non-ferrous metal","mine infrastructure, underground, non-ferrous metal",CA,119.59391976471206,2.2220335707035765
Gold-silver ingot,"consumption market for quicklime, milled, loose","quicklime, milled, loose",CA,93.70458605423215,1.74101439564006
Lead concentrate,"market group for electricity, high voltage","electricity, high voltage",CA,0.23691101328170863,27.36828076706693
Lead concentrate,"consumption market for cement, Portland","cement, Portland",CA,0.08622330773774659,9.960633159868625
Lead concentrate,"technology mix for diesel, burned in building machine","diesel, burned in building machine",CA,0.06367232481614293,7.355513103934816
Lead concentrate,consumption market for chromium,chromium,RoW,0.05834123805133484,6.739658748530195
Lead concentrate,consumption market for copper sulfate,copper sulfate,CA,0.03213128589465268,3.71184961640467
Lead concentrate,"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",CA-QC,0.02694292853475618,3.11248355495155
Lead concentrate,"consumption market for steel, unalloyed","steel, unalloyed",CA,0.02172418267096775,2.5096069724167593
Lead concentrate,"consumption market for hydrogen peroxide, without water, in 50% solution state","hydrogen peroxide, without water, in 50% solution state",CA,0.021088945245758814,2.436223485655027
Lead concentrate,consumption market for sodium cyanide,sodium cyanide,CA,0.020106128100347835,2.3226871193810337
Lead concentrate,"technology mix for mine infrastructure, underground, non-ferrous metal","mine infrastructure, underground, non-ferrous metal",CA,0.01923483045219592,2.2220336363031836
Lead concentrate,"consumption market for quicklime, milled, loose","quicklime, milled, loose",CA,0.015070931941125153,1.7410144470388609
Zinc concentrate,"market group for electricity, high voltage","electricity, high voltage",CA,0.23943134321023743,27.368280308682618
Zinc concentrate,"consumption market for cement, Portland","cement, Portland",CA,0.08714057696899921,9.960632993040537
Zinc concentrate,"technology mix for diesel, burned in building machine","diesel, burned in building machine",CA,0.06434968997376146,7.3555129807392134
Zinc concentrate,consumption market for chromium,chromium,RoW,0.05896188951996607,6.7396586356493815
Zinc concentrate,consumption market for copper sulfate,copper sulfate,CA,0.03247310808502134,3.7118495542358554
Zinc concentrate,"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",CA-QC,0.0272295554340621,3.1124835028213624
Zinc concentrate,"consumption market for steel, unalloyed","steel, unalloyed",CA,0.021955290997254642,2.5096069303839963
Zinc concentrate,"consumption market for hydrogen peroxide, without water, in 50% solution state","hydrogen peroxide, without water, in 50% solution state",CA,0.021313295727096674,2.4362234448513447
Zinc concentrate,consumption market for sodium cyanide,sodium cyanide,CA,0.02032002308013877,2.3226870804789432
Zinc concentrate,"technology mix for mine infrastructure, underground, non-ferrous metal","mine infrastructure, underground, non-ferrous metal",CA,0.019439456308070344,2.2220335990869127
Zinc concentrate,"consumption market for quicklime, milled, loose","quicklime, milled, loose",CA,0.015231261004328613,1.7410144178790572
Gold refined,technology mix for blasting,blasting,CA,65187.6581270929,55.9010559569868
Gold refined,"technology mix for diesel, burned in building machine","diesel, burned in building machine",CA,6356.332785657872,5.450812698924247
Gold refined,"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",CA-QC,1793.2079084025397,1.5377483792205684
Silver refined,technology mix for blasting,blasting,CA,841.4424554086311,55.90105536626153
Silver refined,"technology mix for diesel, burned in building machine","diesel, burned in building machine",CA,82.04755961827438,5.450812641323676
Silver refined,"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",CA-QC,23.146732201402653,1.537748362970664
Iron concentrate,"technology mix for diesel, burned in building machine","diesel, burned in building machine",CA,0.009361035368387316,28.188591520718546
Iron concentrate,"market group for electricity, high voltage","electricity, high voltage",CA,0.0066609619353867975,20.057945274489484
Iron concentrate,consumption market for ammonium nitrate,ammonium nitrate,CA,0.0036426724484480253,10.969065028836305
Iron concentrate,"market for heat, district or industrial, other than natural gas","heat, district or industrial, other than natural gas",CA-QC,0.0010982789102491715,3.307212755694063
Iron concentrate,"technology mix for transport, freight train","transport, freight train",CA,0.0008345555777327283,2.5130709751925595
Nickel concentrate,"technology mix for diesel, burned in building machine","diesel, burned in building machine",CA,0.18395164330790423,29.530082707629813
Nickel concentrate,"consumption market for cement, CEM II/B","cement, CEM II/B",CA,0.12867668273764735,20.656695506796225
Nickel concentrate,consumption market for sand,sand,CA,0.07693613794123501,12.350694322460903
Nickel concentrate,"technology mix for mine infrastructure, underground, non-ferrous metal","mine infrastructure, underground, non-ferrous metal",CA,0.028047892628223013,4.502577819866406
Nickel concentrate,"consumption market for soda ash, dense","soda ash, dense",CA,0.024805474508294012,3.9820667032902226
Nickel concentrate,"market for diesel, burned in diesel-electric generating set, 10MW","diesel, burned in diesel-electric generating set, 10MW",GLO,0.015311362078238803,2.4579600399657333
Nickel concentrate,"market for sulfidic tailings, from nickel mine operation","sulfidic tailings, from nickel mine operation",CA,0.00920602895827365,1.4778601139845031
Nickel concentrate,consumption market for ammonium nitrate,ammonium nitrate,CA,0.008165669591382494,1.3108493844389675
Nickel concentrate,"consumption market for carboxymethyl cellulose, powder","carboxymethyl cellulose, powder",CA,0.007472992177111738,1.1996526537912036
