commodities,mining_method,subflow_type_agg,n,min,max,mean,std,p05,p50,p95,best_dist,AIC,BIC,KS_p,params_json
"Copper, gold, silver",Concentrator,Diesel,1,11.798048192462073,11.798048192462073,11.798048192462073,0.0,11.798048192462073,11.798048192462073,11.798048192462073,insufficient_data,,,,{}
"Copper, gold, silver",Concentrator,Electricity,1,286.790499540086,286.790499540086,286.790499540086,0.0,286.790499540086,286.790499540086,286.790499540086,insufficient_data,,,,{}
"Copper, gold, silver",Concentrator,Gasoline,1,0.05362749178391851,0.05362749178391851,0.05362749178391851,0.0,0.05362749178391851,0.05362749178391851,0.05362749178391851,insufficient_data,,,,{}
"Copper, gold, silver",Concentrator,LPG-Propane,1,1.474756024057759,1.474756024057759,1.474756024057759,0.0,1.474756024057759,1.474756024057759,1.474756024057759,insufficient_data,,,,{}
"Copper, molybdenum, silver","Open-pit, concentrator",Diesel,1,56.121766666666666,56.121766666666666,56.121766666666666,0.0,56.121766666666666,56.121766666666666,56.121766666666666,insufficient_data,,,,{}
"Copper, molybdenum, silver","Open-pit, concentrator",Electricity,1,56.522166666666664,56.522166666666664,56.522166666666664,0.0,56.522166666666664,56.522166666666664,56.522166666666664,insufficient_data,,,,{}
"Copper, molybdenum, silver","Open-pit, concentrator",Gasoline,1,1.2930333333333333,1.2930333333333333,1.2930333333333333,0.0,1.2930333333333333,1.2930333333333333,1.2930333333333333,insufficient_data,,,,{}
"Copper, molybdenum, silver","Open-pit, concentrator",LPG-Propane,1,0.0151,0.0151,0.0151,0.0,0.0151,0.0151,0.0151,insufficient_data,,,,{}
"Copper, molybdenum, silver","Open-pit, concentrator",Natural gas,1,6.232566666666667,6.232566666666667,6.232566666666667,0.0,6.232566666666667,6.232566666666667,6.232566666666667,insufficient_data,,,,{}
Gold,"Open-pit, concentrator",Diesel,1,239.9020654152803,239.9020654152803,239.9020654152803,0.0,239.9020654152803,239.9020654152803,239.9020654152803,insufficient_data,,,,{}
Gold,"Open-pit, concentrator",Electricity,1,804.9092849519743,804.9092849519743,804.9092849519743,0.0,804.9092849519743,804.9092849519743,804.9092849519743,insufficient_data,,,,{}
Gold,"Open-pit, concentrator",Explosives,1,10.588653817983971,10.588653817983971,10.588653817983971,0.0,10.588653817983971,10.588653817983971,10.588653817983971,insufficient_data,,,,{}
Gold,"Open-pit, concentrator",Gasoline,1,6.441082302718312,6.441082302718312,6.441082302718312,0.0,6.441082302718312,6.441082302718312,6.441082302718312,insufficient_data,,,,{}
Gold,"Open-pit, concentrator",Natural gas,1,179.8606315525143,179.8606315525143,179.8606315525143,0.0,179.8606315525143,179.8606315525143,179.8606315525143,insufficient_data,,,,{}
Gold,"Open-pit, underground, concentrator",Diesel,1,237.75502385844018,237.75502385844018,237.75502385844018,0.0,237.75502385844018,237.75502385844018,237.75502385844018,insufficient_data,,,,{}
Gold,"Open-pit, underground, concentrator",Electricity,1,488.938072320181,488.938072320181,488.938072320181,0.0,488.938072320181,488.938072320181,488.938072320181,insufficient_data,,,,{}
Gold,"Underground, concentrator",Diesel,6,45.03364629692618,490.0451866973237,228.3840810342356,192.11454503659203,45.94494564124461,152.60808659660353,487.86654910893196,lognormal,80.79127574378158,80.37479468223769,0.8245037788392706,"{'mu_log': 4.972154755619624, 'sigma_log': 1.0082132348873365, 'scale': 144.33756471252744}"
Gold,"Underground, concentrator",Electricity,6,46.84443798825567,1155.6677248576934,475.41678635920925,372.78788343646204,90.91220761218918,332.0129462659275,1057.4625802166354,weibull_min,89.58099426387894,89.16451320233504,0.8811493548335696,"{'shape': 1.2381288224157563, 'scale': 509.07154930679644}"
Gold,"Underground, concentrator",Explosives,3,0.7776966258480003,21.399730987152772,8.667995797219147,9.08833326637634,1.0825829411288672,3.8265597786566694,19.64241386630316,insufficient_data,,,,{}
Gold,"Underground, concentrator",Gasoline,6,0.22091251213697877,55.49229898146989,15.660942799709625,21.226362345491722,0.28233089496202923,2.485483752627413,49.82294717509214,lognormal,42.70567516737675,42.289194105832856,0.8017581525613842,"{'mu_log': 1.062319610860581, 'sigma_log': 2.1047880780372434, 'scale': 2.8930740179658905}"
Gold,"Underground, concentrator",LPG-Propane,3,3.551800648359413,284.8243357160832,150.80243858356508,115.20940191169151,19.599738522148737,164.03117938625263,272.74502008310014,insufficient_data,,,,{}
Gold,"Underground, concentrator",Naphtha,1,2.2042725501008147,2.2042725501008147,2.2042725501008147,0.0,2.2042725501008147,2.2042725501008147,2.2042725501008147,insufficient_data,,,,{}
Gold,"Underground, concentrator",Natural gas,3,30.81311918318564,91.43053667967033,66.41482771999264,25.854275807185402,35.43188999457927,77.00082729712197,89.9875657414155,insufficient_data,,,,{}
"Gold, copper, silver",Concentrator,Aviation fuel,1,26.900028249027237,26.900028249027237,26.900028249027237,0.0,26.900028249027237,26.900028249027237,26.900028249027237,insufficient_data,,,,{}
"Gold, copper, silver",Concentrator,Diesel,1,311.65865860869815,311.65865860869815,311.65865860869815,0.0,311.65865860869815,311.65865860869815,311.65865860869815,insufficient_data,,,,{}
"Gold, copper, silver",Concentrator,Electricity,1,501.1495956051194,501.1495956051194,501.1495956051194,0.0,501.1495956051194,501.1495956051194,501.1495956051194,insufficient_data,,,,{}
"Gold, copper, silver",Concentrator,Gasoline,1,5.289528210116732,5.289528210116732,5.289528210116732,0.0,5.289528210116732,5.289528210116732,5.289528210116732,insufficient_data,,,,{}
"Gold, copper, silver",Concentrator,LPG-Propane,1,223.6302227140078,223.6302227140078,223.6302227140078,0.0,223.6302227140078,223.6302227140078,223.6302227140078,insufficient_data,,,,{}
"Gold, copper, silver","Open-pit, underground, concentrator",Diesel,1,59.966643999999995,59.966643999999995,59.966643999999995,0.0,59.966643999999995,59.966643999999995,59.966643999999995,insufficient_data,,,,{}
"Gold, copper, silver","Open-pit, underground, concentrator",Electricity,1,74.51859706362154,74.51859706362154,74.51859706362154,0.0,74.51859706362154,74.51859706362154,74.51859706362154,insufficient_data,,,,{}
"Gold, copper, silver","Open-pit, underground, concentrator",Explosives,1,0.6820228384991843,0.6820228384991843,0.6820228384991843,0.0,0.6820228384991843,0.6820228384991843,0.6820228384991843,insufficient_data,,,,{}
"Gold, copper, silver","Open-pit, underground, concentrator",Gasoline,1,1.3324989494290376,1.3324989494290376,1.3324989494290376,0.0,1.3324989494290376,1.3324989494290376,1.3324989494290376,insufficient_data,,,,{}
"Gold, copper, silver","Open-pit, underground, concentrator",LPG-Propane,1,0.25629766721044045,0.25629766721044045,0.25629766721044045,0.0,0.25629766721044045,0.25629766721044045,0.25629766721044045,insufficient_data,,,,{}
"Gold, copper, silver","Open-pit, underground, concentrator",Natural gas,1,19.314192495921695,19.314192495921695,19.314192495921695,0.0,19.314192495921695,19.314192495921695,19.314192495921695,insufficient_data,,,,{}
"Gold, silver","Open-pit, concentrator",Aviation fuel,1,106.29667725021949,106.29667725021949,106.29667725021949,0.0,106.29667725021949,106.29667725021949,106.29667725021949,insufficient_data,,,,{}
"Gold, silver","Open-pit, concentrator",Diesel,2,211.37112906442425,1185.5935104387188,698.4823197515715,487.11119068714726,260.082248133139,698.4823197515716,1136.882391370004,insufficient_data,,,,{}
"Gold, silver","Open-pit, concentrator",Electricity,2,162.37688987448547,1114.1796568934917,638.2782733839886,475.9013835095031,209.9670282254358,638.2782733839886,1066.5895185425413,insufficient_data,,,,{}
"Gold, silver","Open-pit, concentrator",Explosives,1,3.3209614243032686,3.3209614243032686,3.3209614243032686,0.0,3.3209614243032686,3.3209614243032686,3.3209614243032686,insufficient_data,,,,{}
"Gold, silver","Open-pit, concentrator",Gasoline,2,3.8527622361054665,21.810402321608752,12.831582278857109,8.978820042751643,4.75064424038063,12.831582278857109,20.912520317333588,insufficient_data,,,,{}
"Gold, silver","Open-pit, concentrator",LPG-Propane,2,9.924019254681097,69.90175385400168,39.91288655434139,29.988867299660292,12.922905984647127,39.91288655434139,66.90286712403565,insufficient_data,,,,{}
"Gold, silver","Open-pit, underground, concentrator",Diesel,1,470.3406134542327,470.3406134542327,470.3406134542327,0.0,470.3406134542327,470.3406134542327,470.3406134542327,insufficient_data,,,,{}
"Gold, silver","Open-pit, underground, concentrator",Electricity,1,497.5641308019198,497.5641308019198,497.5641308019198,0.0,497.5641308019198,497.5641308019198,497.5641308019198,insufficient_data,,,,{}
"Gold, silver","Open-pit, underground, concentrator",Gasoline,1,68.2943067975524,68.2943067975524,68.2943067975524,0.0,68.2943067975524,68.2943067975524,68.2943067975524,insufficient_data,,,,{}
"Gold, silver","Open-pit, underground, concentrator",LPG-Propane,1,317.9305310637514,317.9305310637514,317.9305310637514,0.0,317.9305310637514,317.9305310637514,317.9305310637514,insufficient_data,,,,{}
"Gold, silver","Underground, concentrator",Aviation fuel,1,437.80789632289157,437.80789632289157,437.80789632289157,0.0,437.80789632289157,437.80789632289157,437.80789632289157,insufficient_data,,,,{}
"Gold, silver","Underground, concentrator",Diesel,4,144.35106881152703,1683.3004637755587,553.6105551976427,652.5514589808719,150.69583183637488,193.3953441017425,1460.8265740931702,insufficient_data,,,,{}
"Gold, silver","Underground, concentrator",Electricity,4,338.3592262795664,3860.6672428560637,1442.637676853109,1421.5175290046334,363.90321951364695,785.7621191384028,3440.9979149931587,insufficient_data,,,,{}
"Gold, silver","Underground, concentrator",Explosives,2,5.61262793818037,6.745910560707731,6.179269249444051,0.5666413112636808,5.669292069306738,6.179269249444051,6.689246429581363,insufficient_data,,,,{}
"Gold, silver","Underground, concentrator",Gasoline,4,3.2777017381251508,79.47050790835637,23.34778720576188,32.418712170521424,3.4575532337961548,5.321469588283005,68.47486584219801,insufficient_data,,,,{}
"Gold, silver","Underground, concentrator",LPG-Propane,4,0.35064964373571283,246.52297753365406,69.2009235186417,102.59588579396272,1.8965131818113674,14.965033448588514,212.4355799535464,insufficient_data,,,,{}
"Gold, silver","Underground, concentrator",Natural gas,2,64.88985689528677,362.2840337939314,213.5869453446091,148.69708844932234,79.759565740219,213.5869453446091,347.4143249489992,insufficient_data,,,,{}
"Gold, silver","Underground, concentrator",Other,1,14.12062891566265,14.12062891566265,14.12062891566265,0.0,14.12062891566265,14.12062891566265,14.12062891566265,insufficient_data,,,,{}
Iron,"Open-pit, concentrator",Diesel,1,121.34831460674157,121.34831460674157,121.34831460674157,0.0,121.34831460674157,121.34831460674157,121.34831460674157,insufficient_data,,,,{}
Iron,"Open-pit, concentrator",Electricity,1,346.34831460674155,346.34831460674155,346.34831460674155,0.0,346.34831460674155,346.34831460674155,346.34831460674155,insufficient_data,,,,{}
Iron,"Open-pit, concentrator",Energy use,1,834.5637583892617,834.5637583892617,834.5637583892617,0.0,834.5637583892617,834.5637583892617,834.5637583892617,insufficient_data,,,,{}
Iron,"Open-pit, concentrator",Gasoline,1,300.56179775280896,300.56179775280896,300.56179775280896,0.0,300.56179775280896,300.56179775280896,300.56179775280896,insufficient_data,,,,{}
Iron,"Open-pit, concentrator",LPG-Propane,1,0.2808988764044944,0.2808988764044944,0.2808988764044944,0.0,0.2808988764044944,0.2808988764044944,0.2808988764044944,insufficient_data,,,,{}
"Platinum group metals, gold, nickel, copper, cobalt","Open-pit, underground, concentrator",Diesel,1,52.16348555815769,52.16348555815769,52.16348555815769,0.0,52.16348555815769,52.16348555815769,52.16348555815769,insufficient_data,,,,{}
"Platinum group metals, gold, nickel, copper, cobalt","Open-pit, underground, concentrator",Electricity,1,114.51990632318501,114.51990632318501,114.51990632318501,0.0,114.51990632318501,114.51990632318501,114.51990632318501,insufficient_data,,,,{}
"Platinum group metals, gold, nickel, copper, cobalt","Open-pit, underground, concentrator",Gasoline,1,1.408313817330211,1.408313817330211,1.408313817330211,0.0,1.408313817330211,1.408313817330211,1.408313817330211,insufficient_data,,,,{}
"Silver, zinc, lead","Underground, concentrator",Diesel,1,298.9129870222998,298.9129870222998,298.9129870222998,0.0,298.9129870222998,298.9129870222998,298.9129870222998,insufficient_data,,,,{}
"Silver, zinc, lead","Underground, concentrator",Electricity,1,364.05004164677365,364.05004164677365,364.05004164677365,0.0,364.05004164677365,364.05004164677365,364.05004164677365,insufficient_data,,,,{}
"Silver, zinc, lead","Underground, concentrator",Gasoline,1,13.723562492975873,13.723562492975873,13.723562492975873,0.0,13.723562492975873,13.723562492975873,13.723562492975873,insufficient_data,,,,{}
"Silver, zinc, lead","Underground, concentrator",LPG-Propane,1,34.78006709117412,34.78006709117412,34.78006709117412,0.0,34.78006709117412,34.78006709117412,34.78006709117412,insufficient_data,,,,{}
Unspecified,Concentrator,Diesel,2,215.75341686717255,1070.4182742886069,643.0858455778897,427.3324287107172,258.48665973824427,643.0858455778897,1027.6850314175351,insufficient_data,,,,{}
Unspecified,Concentrator,Electricity,2,1489.3470059603446,1596.0832838157942,1542.7151448880695,53.36813892772477,1494.683819853117,1542.7151448880695,1590.7464699230218,insufficient_data,,,,{}
Unspecified,Concentrator,Explosives,1,186.99783508609835,186.99783508609835,186.99783508609835,0.0,186.99783508609835,186.99783508609835,186.99783508609835,insufficient_data,,,,{}
Unspecified,Concentrator,Gasoline,1,14.583729630334158,14.583729630334158,14.583729630334158,0.0,14.583729630334158,14.583729630334158,14.583729630334158,insufficient_data,,,,{}
Unspecified,Concentrator,LPG-Propane,2,4.7683726771798405,326.04137617706704,165.40487442712345,160.6365017499436,20.8320228521742,165.40487442712345,309.97772600207264,insufficient_data,,,,{}
Unspecified,Concentrator,Natural gas,1,740.7130628549689,740.7130628549689,740.7130628549689,0.0,740.7130628549689,740.7130628549689,740.7130628549689,insufficient_data,,,,{}
Unspecified,Concentrator,Other,1,84.23770491803279,84.23770491803279,84.23770491803279,0.0,84.23770491803279,84.23770491803279,84.23770491803279,insufficient_data,,,,{}
Unspecified,"Open-pit, concentrator",Diesel,1,934.4821748349345,934.4821748349345,934.4821748349345,0.0,934.4821748349345,934.4821748349345,934.4821748349345,insufficient_data,,,,{}
Unspecified,"Open-pit, concentrator",Electricity,1,309.1380500871293,309.1380500871293,309.1380500871293,0.0,309.1380500871293,309.1380500871293,309.1380500871293,insufficient_data,,,,{}
Unspecified,"Open-pit, concentrator",Explosives,1,11.793426860597274,11.793426860597274,11.793426860597274,0.0,11.793426860597274,11.793426860597274,11.793426860597274,insufficient_data,,,,{}
Unspecified,"Open-pit, concentrator",Gasoline,1,13.313992488967234,13.313992488967234,13.313992488967234,0.0,13.313992488967234,13.313992488967234,13.313992488967234,insufficient_data,,,,{}
Unspecified,"Open-pit, concentrator",LPG-Propane,1,0.06115572867823733,0.06115572867823733,0.06115572867823733,0.0,0.06115572867823733,0.06115572867823733,0.06115572867823733,insufficient_data,,,,{}
Unspecified,"Open-pit, concentrator",Lubricants,1,1.90259375475146,1.90259375475146,1.90259375475146,0.0,1.90259375475146,1.90259375475146,1.90259375475146,insufficient_data,,,,{}
Unspecified,"Open-pit, underground, concentrator",Diesel,1,147.13609477795902,147.13609477795902,147.13609477795902,0.0,147.13609477795902,147.13609477795902,147.13609477795902,insufficient_data,,,,{}
Unspecified,"Open-pit, underground, concentrator",Electricity,1,635.4181435366932,635.4181435366932,635.4181435366932,0.0,635.4181435366932,635.4181435366932,635.4181435366932,insufficient_data,,,,{}
Unspecified,"Open-pit, underground, concentrator",Explosives,1,2.3623267915448007,2.3623267915448007,2.3623267915448007,0.0,2.3623267915448007,2.3623267915448007,2.3623267915448007,insufficient_data,,,,{}
Unspecified,"Open-pit, underground, concentrator",Gasoline,1,3.1330923322892743,3.1330923322892743,3.1330923322892743,0.0,3.1330923322892743,3.1330923322892743,3.1330923322892743,insufficient_data,,,,{}
Unspecified,"Open-pit, underground, concentrator",Natural gas,1,111.88513841451079,111.88513841451079,111.88513841451079,0.0,111.88513841451079,111.88513841451079,111.88513841451079,insufficient_data,,,,{}
Unspecified,"Underground, concentrator",Aviation fuel,1,13.04160077062011,13.04160077062011,13.04160077062011,0.0,13.04160077062011,13.04160077062011,13.04160077062011,insufficient_data,,,,{}
Unspecified,"Underground, concentrator",Diesel,1,231.98542889825404,231.98542889825404,231.98542889825404,0.0,231.98542889825404,231.98542889825404,231.98542889825404,insufficient_data,,,,{}
Unspecified,"Underground, concentrator",Electricity,1,539.2902210957255,539.2902210957255,539.2902210957255,0.0,539.2902210957255,539.2902210957255,539.2902210957255,insufficient_data,,,,{}
Unspecified,"Underground, concentrator",Gasoline,1,6.031377423239012,6.031377423239012,6.031377423239012,0.0,6.031377423239012,6.031377423239012,6.031377423239012,insufficient_data,,,,{}
Unspecified,"Underground, concentrator",LPG-Propane,1,85.72737757375076,85.72737757375076,85.72737757375076,0.0,85.72737757375076,85.72737757375076,85.72737757375076,insufficient_data,,,,{}
Unspecified,Unspecified,Diesel,2,222.32495095178936,243.92558284752297,233.12526689965617,10.800315947866807,223.40498254657604,233.12526689965617,242.8455512527363,insufficient_data,,,,{}
Unspecified,Unspecified,Electricity,2,283.8771931402412,666.7817081488503,475.3294506445458,191.45225750430453,303.02241889067164,475.3294506445458,647.6364823984198,insufficient_data,,,,{}
Unspecified,Unspecified,Explosives,1,4.407115628970774,4.407115628970774,4.407115628970774,0.0,4.407115628970774,4.407115628970774,4.407115628970774,insufficient_data,,,,{}
Unspecified,Unspecified,Gasoline,2,1.91208275688064,5.866840961678897,3.8894618592797685,1.9773791023991285,2.109820667120553,3.8894618592797685,5.669103051438984,insufficient_data,,,,{}
Unspecified,Unspecified,LPG-Propane,1,2.176591573445551,2.176591573445551,2.176591573445551,0.0,2.176591573445551,2.176591573445551,2.176591573445551,insufficient_data,,,,{}
Unspecified,Unspecified,Natural gas,2,57.70682328007979,100.78381802229954,79.24532065118967,21.538497371109877,59.86067301719078,79.24532065118967,98.62996828518855,insufficient_data,,,,{}
